iter	Passed	Remaining
0	1	134
1	2	107
2	2	96
3	3	86
4	4	83
5	5	80
6	5	78
7	6	77
8	7	76
9	8	75
10	10	81
11	12	88
12	15	101
13	16	100
14	17	98
15	18	95
16	19	93
17	19	90
18	20	88
19	21	85
20	22	83
21	22	81
22	23	79
23	26	83
24	28	85
25	30	86
26	31	84
27	32	82
28	32	80
29	33	78
30	34	76
31	35	75
32	36	73
33	36	71
34	37	70
35	38	68
36	43	73
37	45	73
38	46	72
39	47	70
40	47	68
41	48	66
42	49	65
43	50	63
44	50	62
45	51	60
46	52	59
47	53	57
48	54	56
49	56	56
50	57	55
51	58	54
52	60	53
53	61	52
54	61	50
55	62	49
56	63	47
57	64	46
58	64	45
59	65	43
60	66	42
61	67	41
62	67	39
63	68	38
64	69	37
65	71	36
66	72	35
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	78	29
73	79	28
74	80	26
75	81	25
76	81	24
77	82	23
78	83	22
79	84	21
80	86	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	97	7
93	99	6
94	101	5
95	103	4
96	105	3
97	106	2
98	106	1
99	107	0
